// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813
// command took 1,95s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813
// command took 3,71s and exited with 0
// ***** Done, took 00:00:05 (5.84 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8597c096-97e5-4d94-84a6-0a7652763813.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual  10: 4194304 op, 9528100.00 ns, 2.2717 ns/op
OverheadActual  11: 4194304 op, 9449200.00 ns, 2.2529 ns/op
OverheadActual  12: 4194304 op, 9474500.00 ns, 2.2589 ns/op
OverheadActual  13: 4194304 op, 9510500.00 ns, 2.2675 ns/op
OverheadActual  14: 4194304 op, 9723600.00 ns, 2.3183 ns/op
OverheadActual  15: 4194304 op, 9360700.00 ns, 2.2318 ns/op

WorkloadWarmup   1: 4194304 op, 514047600.00 ns, 122.5585 ns/op
WorkloadWarmup   2: 4194304 op, 508049500.00 ns, 121.1284 ns/op
WorkloadWarmup   3: 4194304 op, 491688800.00 ns, 117.2277 ns/op
WorkloadWarmup   4: 4194304 op, 469689000.00 ns, 111.9826 ns/op
WorkloadWarmup   5: 4194304 op, 472135500.00 ns, 112.5659 ns/op
WorkloadWarmup   6: 4194304 op, 470180700.00 ns, 112.0998 ns/op
WorkloadWarmup   7: 4194304 op, 472158300.00 ns, 112.5713 ns/op
WorkloadWarmup   8: 4194304 op, 473479400.00 ns, 112.8863 ns/op
WorkloadWarmup   9: 4194304 op, 477374100.00 ns, 113.8149 ns/op
WorkloadWarmup  10: 4194304 op, 473438600.00 ns, 112.8766 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 484579000.00 ns, 115.5326 ns/op
WorkloadActual   2: 4194304 op, 493810700.00 ns, 117.7336 ns/op
WorkloadActual   3: 4194304 op, 474737900.00 ns, 113.1863 ns/op
WorkloadActual   4: 4194304 op, 479971500.00 ns, 114.4341 ns/op
WorkloadActual   5: 4194304 op, 486638500.00 ns, 116.0237 ns/op
WorkloadActual   6: 4194304 op, 498902000.00 ns, 118.9475 ns/op
WorkloadActual   7: 4194304 op, 495539800.00 ns, 118.1459 ns/op
WorkloadActual   8: 4194304 op, 475135000.00 ns, 113.2810 ns/op
WorkloadActual   9: 4194304 op, 491847500.00 ns, 117.2656 ns/op
WorkloadActual  10: 4194304 op, 506769200.00 ns, 120.8232 ns/op
WorkloadActual  11: 4194304 op, 495891800.00 ns, 118.2298 ns/op
WorkloadActual  12: 4194304 op, 500595100.00 ns, 119.3512 ns/op
WorkloadActual  13: 4194304 op, 487765500.00 ns, 116.2924 ns/op
WorkloadActual  14: 4194304 op, 502428200.00 ns, 119.7882 ns/op
WorkloadActual  15: 4194304 op, 499252600.00 ns, 119.0311 ns/op
WorkloadActual  16: 4194304 op, 508947700.00 ns, 121.3426 ns/op
WorkloadActual  17: 4194304 op, 495048500.00 ns, 118.0288 ns/op
WorkloadActual  18: 4194304 op, 494691500.00 ns, 117.9436 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 475050400.00 ns, 113.2608 ns/op
WorkloadResult   2: 4194304 op, 484282100.00 ns, 115.4619 ns/op
WorkloadResult   3: 4194304 op, 465209300.00 ns, 110.9145 ns/op
WorkloadResult   4: 4194304 op, 470442900.00 ns, 112.1623 ns/op
WorkloadResult   5: 4194304 op, 477109900.00 ns, 113.7519 ns/op
WorkloadResult   6: 4194304 op, 489373400.00 ns, 116.6757 ns/op
WorkloadResult   7: 4194304 op, 486011200.00 ns, 115.8741 ns/op
WorkloadResult   8: 4194304 op, 465606400.00 ns, 111.0092 ns/op
WorkloadResult   9: 4194304 op, 482318900.00 ns, 114.9938 ns/op
WorkloadResult  10: 4194304 op, 497240600.00 ns, 118.5514 ns/op
WorkloadResult  11: 4194304 op, 486363200.00 ns, 115.9580 ns/op
WorkloadResult  12: 4194304 op, 491066500.00 ns, 117.0794 ns/op
WorkloadResult  13: 4194304 op, 478236900.00 ns, 114.0206 ns/op
WorkloadResult  14: 4194304 op, 492899600.00 ns, 117.5164 ns/op
WorkloadResult  15: 4194304 op, 489724000.00 ns, 116.7593 ns/op
WorkloadResult  16: 4194304 op, 499419100.00 ns, 119.0708 ns/op
WorkloadResult  17: 4194304 op, 485519900.00 ns, 115.7570 ns/op
WorkloadResult  18: 4194304 op, 485162900.00 ns, 115.6718 ns/op
GC:  566 0 0 1778384896 4194304
Threading:  2 0 4194304

// AfterAll
// Benchmark Process 4336 has exited with code 0

Mean = 115.249 ns, StdErr = 0.554 ns (0.48%), N = 18, StdDev = 2.348 ns
Min = 110.915 ns, Q1 = 113.819 ns, Median = 115.714 ns, Q3 = 116.738 ns, Max = 119.071 ns
IQR = 2.919 ns, LowerFence = 109.440 ns, UpperFence = 121.117 ns
ConfidenceInterval = [113.055 ns; 117.444 ns] (CI 99.9%), Margin = 2.195 ns (1.90% of Mean)
Skewness = -0.36, Kurtosis = 2.14, MValue = 2

// **************************
// Benchmark: DataTableMonitor.TestClass: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "8597c096-97e5-4d94-84a6-0a7652763813.dll" --benchmarkName "src.DataTableMonitor.TestClass" --job "Default" --benchmarkId 1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\8597c096-97e5-4d94-84a6-0a7652763813\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 583300.00 ns, 583.3000 us/op
WorkloadJitting  1: 1 op, 1014400.00 ns, 1.0144 ms/op

OverheadJitting  2: 16 op, 1035300.00 ns, 64.7063 us/op
WorkloadJitting  2: 16 op, 1023200.00 ns, 63.9500 us/op

WorkloadPilot    1: 16 op, 4500.00 ns, 281.2500 ns/op
WorkloadPilot    2: 32 op, 5700.00 ns, 178.1250 ns/op
WorkloadPilot    3: 64 op, 9700.00 ns, 151.5625 ns/op
WorkloadPilot    4: 128 op, 17600.00 ns, 137.5000 ns/op
WorkloadPilot    5: 256 op, 31700.00 ns, 123.8281 ns/op
WorkloadPilot    6: 512 op, 70700.00 ns, 138.0859 ns/op
WorkloadPilot    7: 1024 op, 237000.00 ns, 231.4453 ns/op
WorkloadPilot    8: 2048 op, 447200.00 ns, 218.3594 ns/op
WorkloadPilot    9: 4096 op, 940000.00 ns, 229.4922 ns/op
WorkloadPilot   10: 8192 op, 2207200.00 ns, 269.4336 ns/op
WorkloadPilot   11: 16384 op, 2269900.00 ns, 138.5437 ns/op
WorkloadPilot   12: 32768 op, 4128800.00 ns, 126.0010 ns/op
WorkloadPilot   13: 65536 op, 9392500.00 ns, 143.3182 ns/op
WorkloadPilot   14: 131072 op, 17004000.00 ns, 129.7302 ns/op
WorkloadPilot   15: 262144 op, 34095400.00 ns, 130.0636 ns/op
WorkloadPilot   16: 524288 op, 65679300.00 ns, 125.2733 ns/op
WorkloadPilot   17: 1048576 op, 121849100.00 ns, 116.2044 ns/op
WorkloadPilot   18: 2097152 op, 241848600.00 ns, 115.3224 ns/op
WorkloadPilot   19: 4194304 op, 513522500.00 ns, 122.4333 ns/op

OverheadWarmup   1: 4194304 op, 9413200.00 ns, 2.2443 ns/op
OverheadWarmup   2: 4194304 op, 9494000.00 ns, 2.2635 ns/op
OverheadWarmup   3: 4194304 op, 10042700.00 ns, 2.3944 ns/op
OverheadWarmup   4: 4194304 op, 9751600.00 ns, 2.3250 ns/op
OverheadWarmup   5: 4194304 op, 9844100.00 ns, 2.3470 ns/op
OverheadWarmup   6: 4194304 op, 9708900.00 ns, 2.3148 ns/op

OverheadActual   1: 4194304 op, 9581100.00 ns, 2.2843 ns/op
OverheadActual   2: 4194304 op, 9785600.00 ns, 2.3331 ns/op
OverheadActual   3: 4194304 op, 9940500.00 ns, 2.3700 ns/op
OverheadActual   4: 4194304 op, 9696300.00 ns, 2.3118 ns/op
OverheadActual   5: 4194304 op, 9866200.00 ns, 2.3523 ns/op
OverheadActual   6: 4194304 op, 9886100.00 ns, 2.3570 ns/op
OverheadActual   7: 4194304 op, 9700500.00 ns, 2.3128 ns/op
OverheadActual   8: 4194304 op, 9820200.00 ns, 2.3413 ns/op
OverheadActual   9: 4194304 op, 9823800.00 ns, 2.3422 ns/op
OverheadActual  10: 4194304 op, 9872200.00 ns, 2.3537 ns/op
OverheadActual  11: 4194304 op, 9942100.00 ns, 2.3704 ns/op
OverheadActual  12: 4194304 op, 9825800.00 ns, 2.3427 ns/op
OverheadActual  13: 4194304 op, 9662100.00 ns, 2.3036 ns/op
OverheadActual  14: 4194304 op, 9767200.00 ns, 2.3287 ns/op
OverheadActual  15: 4194304 op, 9718400.00 ns, 2.3170 ns/op

WorkloadWarmup   1: 4194304 op, 518681200.00 ns, 123.6632 ns/op
WorkloadWarmup   2: 4194304 op, 511100000.00 ns, 121.8557 ns/op
WorkloadWarmup   3: 4194304 op, 531054100.00 ns, 126.6132 ns/op
WorkloadWarmup   4: 4194304 op, 515933800.00 ns, 123.0082 ns/op
WorkloadWarmup   5: 4194304 op, 483081300.00 ns, 115.1756 ns/op
WorkloadWarmup   6: 4194304 op, 489346900.00 ns, 116.6694 ns/op
WorkloadWarmup   7: 4194304 op, 556855000.00 ns, 132.7646 ns/op
WorkloadWarmup   8: 4194304 op, 526301400.00 ns, 125.4800 ns/op

// BeforeActualRun
WorkloadActual   1: 4194304 op, 498578400.00 ns, 118.8704 ns/op
WorkloadActual   2: 4194304 op, 488208500.00 ns, 116.3980 ns/op
WorkloadActual   3: 4194304 op, 510007200.00 ns, 121.5952 ns/op
WorkloadActual   4: 4194304 op, 486689700.00 ns, 116.0359 ns/op
WorkloadActual   5: 4194304 op, 503051700.00 ns, 119.9369 ns/op
WorkloadActual   6: 4194304 op, 503710100.00 ns, 120.0938 ns/op
WorkloadActual   7: 4194304 op, 497092400.00 ns, 118.5161 ns/op
WorkloadActual   8: 4194304 op, 492516100.00 ns, 117.4250 ns/op
WorkloadActual   9: 4194304 op, 495157100.00 ns, 118.0547 ns/op
WorkloadActual  10: 4194304 op, 478332500.00 ns, 114.0434 ns/op
WorkloadActual  11: 4194304 op, 479009900.00 ns, 114.2049 ns/op
WorkloadActual  12: 4194304 op, 478066500.00 ns, 113.9799 ns/op
WorkloadActual  13: 4194304 op, 479459200.00 ns, 114.3120 ns/op
WorkloadActual  14: 4194304 op, 484641300.00 ns, 115.5475 ns/op
WorkloadActual  15: 4194304 op, 482458300.00 ns, 115.0270 ns/op
WorkloadActual  16: 4194304 op, 485924900.00 ns, 115.8535 ns/op
WorkloadActual  17: 4194304 op, 484580300.00 ns, 115.5329 ns/op

// AfterActualRun
WorkloadResult   1: 4194304 op, 488758200.00 ns, 116.5290 ns/op
WorkloadResult   2: 4194304 op, 478388300.00 ns, 114.0567 ns/op
WorkloadResult   3: 4194304 op, 500187000.00 ns, 119.2539 ns/op
WorkloadResult   4: 4194304 op, 476869500.00 ns, 113.6945 ns/op
WorkloadResult   5: 4194304 op, 493231500.00 ns, 117.5956 ns/op
WorkloadResult   6: 4194304 op, 493889900.00 ns, 117.7525 ns/op
WorkloadResult   7: 4194304 op, 487272200.00 ns, 116.1747 ns/op
WorkloadResult   8: 4194304 op, 482695900.00 ns, 115.0837 ns/op
WorkloadResult   9: 4194304 op, 485336900.00 ns, 115.7133 ns/op
WorkloadResult  10: 4194304 op, 468512300.00 ns, 111.7020 ns/op
WorkloadResult  11: 4194304 op, 469189700.00 ns, 111.8635 ns/op
WorkloadResult  12: 4194304 op, 468246300.00 ns, 111.6386 ns/op
WorkloadResult  13: 4194304 op, 469639000.00 ns, 111.9707 ns/op
WorkloadResult  14: 4194304 op, 474821100.00 ns, 113.2062 ns/op
WorkloadResult  15: 4194304 op, 472638100.00 ns, 112.6857 ns/op
WorkloadResult  16: 4194304 op, 476104700.00 ns, 113.5122 ns/op
WorkloadResult  17: 4194304 op, 474760100.00 ns, 113.1916 ns/op
GC:  566 0 0 1778384896 4194304
Threading:  2 0 4194304

// AfterAll
// Benchmark Process 8492 has exited with code 0

Mean = 114.449 ns, StdErr = 0.573 ns (0.50%), N = 17, StdDev = 2.363 ns
Min = 111.639 ns, Q1 = 112.686 ns, Median = 113.695 ns, Q3 = 116.175 ns, Max = 119.254 ns
IQR = 3.489 ns, LowerFence = 107.452 ns, UpperFence = 121.408 ns
ConfidenceInterval = [112.148 ns; 116.749 ns] (CI 99.9%), Margin = 2.301 ns (2.01% of Mean)
Skewness = 0.48, Kurtosis = 1.88, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report.csv
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report-github.md
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report.html

// * Detailed results *
DataTableMonitor.TestStruct: DefaultJob
Runtime = .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT; GC = Concurrent Workstation
Mean = 115.249 ns, StdErr = 0.554 ns (0.48%), N = 18, StdDev = 2.348 ns
Min = 110.915 ns, Q1 = 113.819 ns, Median = 115.714 ns, Q3 = 116.738 ns, Max = 119.071 ns
IQR = 2.919 ns, LowerFence = 109.440 ns, UpperFence = 121.117 ns
ConfidenceInterval = [113.055 ns; 117.444 ns] (CI 99.9%), Margin = 2.195 ns (1.90% of Mean)
Skewness = -0.36, Kurtosis = 2.14, MValue = 2
-------------------- Histogram --------------------
[110.362 ns ; 112.951 ns) | @@@
[112.951 ns ; 115.313 ns) | @@@@
[115.313 ns ; 117.665 ns) | @@@@@@@@@
[117.665 ns ; 120.247 ns) | @@
---------------------------------------------------

DataTableMonitor.TestClass: DefaultJob
Runtime = .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT; GC = Concurrent Workstation
Mean = 114.449 ns, StdErr = 0.573 ns (0.50%), N = 17, StdDev = 2.363 ns
Min = 111.639 ns, Q1 = 112.686 ns, Median = 113.695 ns, Q3 = 116.175 ns, Max = 119.254 ns
IQR = 3.489 ns, LowerFence = 107.452 ns, UpperFence = 121.408 ns
ConfidenceInterval = [112.148 ns; 116.749 ns] (CI 99.9%), Margin = 2.301 ns (2.01% of Mean)
Skewness = 0.48, Kurtosis = 1.88, MValue = 2
-------------------- Histogram --------------------
[111.461 ns ; 113.873 ns) | @@@@@@@@@
[113.873 ns ; 117.939 ns) | @@@@@@@
[117.939 ns ; 120.460 ns) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19041.746 (2004/?/20H1)
Intel Core i5-3330 CPU 3.00GHz (Ivy Bridge), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=5.0.102
  [Host]     : .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
  DefaultJob : .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT


|     Method |     Mean |   Error |  StdDev |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|----------- |---------:|--------:|--------:|-------:|------:|------:|----------:|
| TestStruct | 115.2 ns | 2.19 ns | 2.35 ns | 0.1349 |     - |     - |     424 B |
|  TestClass | 114.4 ns | 2.30 ns | 2.36 ns | 0.1349 |     - |     - |     424 B |

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:31 (31.55 sec), executed benchmarks: 2

Global total time: 00:00:37 (37.41 sec), executed benchmarks: 2
// * Artifacts cleanup *
