// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362
// command took 2,04s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362
// command took 3,45s and exited with 0
// ***** Done, took 00:00:05 (5.69 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1541dd0b-87e6-44cf-8447-c887154c8362.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadActual   4: 8388608 op, 943741800.00 ns, 112.5028 ns/op
WorkloadActual   5: 8388608 op, 945913600.00 ns, 112.7617 ns/op
WorkloadActual   6: 8388608 op, 952202200.00 ns, 113.5113 ns/op
WorkloadActual   7: 8388608 op, 941753200.00 ns, 112.2657 ns/op
WorkloadActual   8: 8388608 op, 940848100.00 ns, 112.1578 ns/op
WorkloadActual   9: 8388608 op, 939381300.00 ns, 111.9830 ns/op
WorkloadActual  10: 8388608 op, 940649800.00 ns, 112.1342 ns/op
WorkloadActual  11: 8388608 op, 951563400.00 ns, 113.4352 ns/op
WorkloadActual  12: 8388608 op, 991971700.00 ns, 118.2522 ns/op
WorkloadActual  13: 8388608 op, 1080112700.00 ns, 128.7595 ns/op
WorkloadActual  14: 8388608 op, 985748200.00 ns, 117.5103 ns/op
WorkloadActual  15: 8388608 op, 965489700.00 ns, 115.0953 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 927380700.00 ns, 110.5524 ns/op
WorkloadResult   2: 8388608 op, 923608900.00 ns, 110.1028 ns/op
WorkloadResult   3: 8388608 op, 927439800.00 ns, 110.5594 ns/op
WorkloadResult   4: 8388608 op, 924686700.00 ns, 110.2312 ns/op
WorkloadResult   5: 8388608 op, 926858500.00 ns, 110.4901 ns/op
WorkloadResult   6: 8388608 op, 933147100.00 ns, 111.2398 ns/op
WorkloadResult   7: 8388608 op, 922698100.00 ns, 109.9942 ns/op
WorkloadResult   8: 8388608 op, 921793000.00 ns, 109.8863 ns/op
WorkloadResult   9: 8388608 op, 920326200.00 ns, 109.7114 ns/op
WorkloadResult  10: 8388608 op, 921594700.00 ns, 109.8626 ns/op
WorkloadResult  11: 8388608 op, 932508300.00 ns, 111.1637 ns/op
WorkloadResult  12: 8388608 op, 946434600.00 ns, 112.8238 ns/op
GC:  1133 0 0 3556769792 8388608
Threading:  2 0 8388608

// AfterAll
// Benchmark Process 12232 has exited with code 0

Mean = 110.551 ns, StdErr = 0.250 ns (0.23%), N = 12, StdDev = 0.866 ns
Min = 109.711 ns, Q1 = 109.967 ns, Median = 110.361 ns, Q3 = 110.710 ns, Max = 112.824 ns
IQR = 0.743 ns, LowerFence = 108.852 ns, UpperFence = 111.825 ns
ConfidenceInterval = [109.442 ns; 111.661 ns] (CI 99.9%), Margin = 1.109 ns (1.00% of Mean)
Skewness = 1.38, Kurtosis = 4.16, MValue = 2

// **************************
// Benchmark: DataTableMonitor.TestClass: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1541dd0b-87e6-44cf-8447-c887154c8362.dll" --benchmarkName "src.DataTableMonitor.TestClass" --job "Default" --benchmarkId 1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\1541dd0b-87e6-44cf-8447-c887154c8362\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 438700.00 ns, 438.7000 us/op
WorkloadJitting  1: 1 op, 1015000.00 ns, 1.0150 ms/op

OverheadJitting  2: 16 op, 870300.00 ns, 54.3937 us/op
WorkloadJitting  2: 16 op, 715200.00 ns, 44.7000 us/op

WorkloadPilot    1: 16 op, 5600.00 ns, 350.0000 ns/op
WorkloadPilot    2: 32 op, 6100.00 ns, 190.6250 ns/op
WorkloadPilot    3: 64 op, 9700.00 ns, 151.5625 ns/op
WorkloadPilot    4: 128 op, 16700.00 ns, 130.4688 ns/op
WorkloadPilot    5: 256 op, 35700.00 ns, 139.4531 ns/op
WorkloadPilot    6: 512 op, 80500.00 ns, 157.2266 ns/op
WorkloadPilot    7: 1024 op, 244600.00 ns, 238.8672 ns/op
WorkloadPilot    8: 2048 op, 452100.00 ns, 220.7520 ns/op
WorkloadPilot    9: 4096 op, 930700.00 ns, 227.2217 ns/op
WorkloadPilot   10: 8192 op, 1737900.00 ns, 212.1460 ns/op
WorkloadPilot   11: 16384 op, 1995600.00 ns, 121.8018 ns/op
WorkloadPilot   12: 32768 op, 3971800.00 ns, 121.2097 ns/op
WorkloadPilot   13: 65536 op, 8878600.00 ns, 135.4767 ns/op
WorkloadPilot   14: 131072 op, 16860500.00 ns, 128.6354 ns/op
WorkloadPilot   15: 262144 op, 33642000.00 ns, 128.3340 ns/op
WorkloadPilot   16: 524288 op, 65938100.00 ns, 125.7669 ns/op
WorkloadPilot   17: 1048576 op, 124844300.00 ns, 119.0608 ns/op
WorkloadPilot   18: 2097152 op, 244826400.00 ns, 116.7423 ns/op
WorkloadPilot   19: 4194304 op, 484791900.00 ns, 115.5834 ns/op
WorkloadPilot   20: 8388608 op, 973390500.00 ns, 116.0372 ns/op

OverheadWarmup   1: 8388608 op, 19405800.00 ns, 2.3134 ns/op
OverheadWarmup   2: 8388608 op, 19439500.00 ns, 2.3174 ns/op
OverheadWarmup   3: 8388608 op, 19202100.00 ns, 2.2891 ns/op
OverheadWarmup   4: 8388608 op, 19308500.00 ns, 2.3018 ns/op
OverheadWarmup   5: 8388608 op, 19608300.00 ns, 2.3375 ns/op
OverheadWarmup   6: 8388608 op, 19423200.00 ns, 2.3154 ns/op

OverheadActual   1: 8388608 op, 19265800.00 ns, 2.2967 ns/op
OverheadActual   2: 8388608 op, 19183900.00 ns, 2.2869 ns/op
OverheadActual   3: 8388608 op, 19339500.00 ns, 2.3054 ns/op
OverheadActual   4: 8388608 op, 19469300.00 ns, 2.3209 ns/op
OverheadActual   5: 8388608 op, 19489100.00 ns, 2.3233 ns/op
OverheadActual   6: 8388608 op, 19459900.00 ns, 2.3198 ns/op
OverheadActual   7: 8388608 op, 19410200.00 ns, 2.3139 ns/op
OverheadActual   8: 8388608 op, 19199300.00 ns, 2.2887 ns/op
OverheadActual   9: 8388608 op, 19274700.00 ns, 2.2977 ns/op
OverheadActual  10: 8388608 op, 19840300.00 ns, 2.3651 ns/op
OverheadActual  11: 8388608 op, 19021700.00 ns, 2.2676 ns/op
OverheadActual  12: 8388608 op, 19118300.00 ns, 2.2791 ns/op
OverheadActual  13: 8388608 op, 19165500.00 ns, 2.2847 ns/op
OverheadActual  14: 8388608 op, 19433500.00 ns, 2.3167 ns/op
OverheadActual  15: 8388608 op, 19055200.00 ns, 2.2716 ns/op

WorkloadWarmup   1: 8388608 op, 980054400.00 ns, 116.8316 ns/op
WorkloadWarmup   2: 8388608 op, 976006700.00 ns, 116.3491 ns/op
WorkloadWarmup   3: 8388608 op, 978568500.00 ns, 116.6545 ns/op
WorkloadWarmup   4: 8388608 op, 984937900.00 ns, 117.4137 ns/op
WorkloadWarmup   5: 8388608 op, 992935300.00 ns, 118.3671 ns/op
WorkloadWarmup   6: 8388608 op, 983028600.00 ns, 117.1861 ns/op
WorkloadWarmup   7: 8388608 op, 980219600.00 ns, 116.8513 ns/op
WorkloadWarmup   8: 8388608 op, 978261800.00 ns, 116.6179 ns/op
WorkloadWarmup   9: 8388608 op, 984572500.00 ns, 117.3702 ns/op
WorkloadWarmup  10: 8388608 op, 999484200.00 ns, 119.1478 ns/op
WorkloadWarmup  11: 8388608 op, 985986400.00 ns, 117.5387 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 1001861200.00 ns, 119.4312 ns/op
WorkloadActual   2: 8388608 op, 993600300.00 ns, 118.4464 ns/op
WorkloadActual   3: 8388608 op, 1004199000.00 ns, 119.7098 ns/op
WorkloadActual   4: 8388608 op, 1010199400.00 ns, 120.4252 ns/op
WorkloadActual   5: 8388608 op, 1024095100.00 ns, 122.0816 ns/op
