// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794
// command took 2,27s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794
// command took 3,76s and exited with 0
// ***** Done, took 00:00:06 (6.34 sec)   *****
// Found 2 benchmarks:
//   Md5VsSha256.Sha256: DefaultJob
//   Md5VsSha256.Md5: DefaultJob

// **************************
// Benchmark: Md5VsSha256.Sha256: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "62096192-6595-4e37-955e-7e0a19866794.dll" --benchmarkName "src.Md5VsSha256.Sha256" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

WorkloadWarmup   5: 16384 op, 871865100.00 ns, 53.2144 us/op
WorkloadWarmup   6: 16384 op, 869808200.00 ns, 53.0889 us/op
WorkloadWarmup   7: 16384 op, 871033400.00 ns, 53.1637 us/op
WorkloadWarmup   8: 16384 op, 869248100.00 ns, 53.0547 us/op

// BeforeActualRun
WorkloadActual   1: 16384 op, 869861100.00 ns, 53.0921 us/op
WorkloadActual   2: 16384 op, 867201500.00 ns, 52.9298 us/op
WorkloadActual   3: 16384 op, 866653700.00 ns, 52.8963 us/op
WorkloadActual   4: 16384 op, 868886300.00 ns, 53.0326 us/op
WorkloadActual   5: 16384 op, 866992500.00 ns, 52.9170 us/op
WorkloadActual   6: 16384 op, 866272400.00 ns, 52.8731 us/op
WorkloadActual   7: 16384 op, 869778300.00 ns, 53.0871 us/op
WorkloadActual   8: 16384 op, 868902800.00 ns, 53.0336 us/op
WorkloadActual   9: 16384 op, 869504200.00 ns, 53.0703 us/op
WorkloadActual  10: 16384 op, 868843300.00 ns, 53.0300 us/op
WorkloadActual  11: 16384 op, 868246000.00 ns, 52.9935 us/op
WorkloadActual  12: 16384 op, 865329600.00 ns, 52.8155 us/op
WorkloadActual  13: 16384 op, 866800300.00 ns, 52.9053 us/op
WorkloadActual  14: 16384 op, 868229800.00 ns, 52.9925 us/op
WorkloadActual  15: 16384 op, 869665000.00 ns, 53.0801 us/op

// AfterActualRun
WorkloadResult   1: 16384 op, 869772500.00 ns, 53.0867 us/op
WorkloadResult   2: 16384 op, 867112900.00 ns, 52.9244 us/op
WorkloadResult   3: 16384 op, 866565100.00 ns, 52.8909 us/op
WorkloadResult   4: 16384 op, 868797700.00 ns, 53.0272 us/op
WorkloadResult   5: 16384 op, 866903900.00 ns, 52.9116 us/op
WorkloadResult   6: 16384 op, 866183800.00 ns, 52.8677 us/op
WorkloadResult   7: 16384 op, 869689700.00 ns, 53.0816 us/op
WorkloadResult   8: 16384 op, 868814200.00 ns, 53.0282 us/op
WorkloadResult   9: 16384 op, 869415600.00 ns, 53.0649 us/op
WorkloadResult  10: 16384 op, 868754700.00 ns, 53.0246 us/op
WorkloadResult  11: 16384 op, 868157400.00 ns, 52.9881 us/op
WorkloadResult  12: 16384 op, 865241000.00 ns, 52.8101 us/op
WorkloadResult  13: 16384 op, 866711700.00 ns, 52.8999 us/op
WorkloadResult  14: 16384 op, 868141200.00 ns, 52.9871 us/op
WorkloadResult  15: 16384 op, 869576400.00 ns, 53.0747 us/op

// AfterAll
// Benchmark Process 2428 has exited with code 0

Mean = 52.978 μs, StdErr = 0.023 μs (0.04%), N = 15, StdDev = 0.088 μs
Min = 52.810 μs, Q1 = 52.906 μs, Median = 52.988 μs, Q3 = 53.047 μs, Max = 53.087 μs
IQR = 0.141 μs, LowerFence = 52.695 μs, UpperFence = 53.258 μs
ConfidenceInterval = [52.884 μs; 53.072 μs] (CI 99.9%), Margin = 0.094 μs (0.18% of Mean)
Skewness = -0.32, Kurtosis = 1.65, MValue = 2

// **************************
// Benchmark: Md5VsSha256.Md5: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "62096192-6595-4e37-955e-7e0a19866794.dll" --benchmarkName "src.Md5VsSha256.Md5" --job "Default" --benchmarkId 1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\62096192-6595-4e37-955e-7e0a19866794\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 542800.00 ns, 542.8000 us/op
WorkloadJitting  1: 1 op, 991900.00 ns, 991.9000 us/op

OverheadJitting  2: 16 op, 1473400.00 ns, 92.0875 us/op
WorkloadJitting  2: 16 op, 1616700.00 ns, 101.0438 us/op

WorkloadPilot    1: 16 op, 409300.00 ns, 25.5813 us/op
WorkloadPilot    2: 32 op, 908700.00 ns, 28.3969 us/op
WorkloadPilot    3: 64 op, 1510800.00 ns, 23.6062 us/op
WorkloadPilot    4: 128 op, 3032000.00 ns, 23.6875 us/op
WorkloadPilot    5: 256 op, 6302000.00 ns, 24.6172 us/op
WorkloadPilot    6: 512 op, 12397700.00 ns, 24.2143 us/op
WorkloadPilot    7: 1024 op, 24461500.00 ns, 23.8882 us/op
WorkloadPilot    8: 2048 op, 49097600.00 ns, 23.9734 us/op
WorkloadPilot    9: 4096 op, 94337900.00 ns, 23.0317 us/op
WorkloadPilot   10: 8192 op, 185394700.00 ns, 22.6312 us/op
WorkloadPilot   11: 16384 op, 373381800.00 ns, 22.7894 us/op
WorkloadPilot   12: 32768 op, 746578700.00 ns, 22.7838 us/op

OverheadWarmup   1: 32768 op, 179300.00 ns, 5.4718 ns/op
OverheadWarmup   2: 32768 op, 175800.00 ns, 5.3650 ns/op
OverheadWarmup   3: 32768 op, 175700.00 ns, 5.3619 n
