// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 2 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad
// command took 2,05s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad
// command took 3,63s and exited with 0
// ***** Done, took 00:00:05 (5.85 sec)   *****
// Found 2 benchmarks:
//   DataTableMonitor.TestStruct: DefaultJob
//   DataTableMonitor.TestClass: DefaultJob

// **************************
// Benchmark: DataTableMonitor.TestStruct: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9f9dd925-94b8-4a60-a2ad-4207299d20ad.dll" --benchmarkName "src.DataTableMonitor.TestStruct" --job "Default" --benchmarkId 0 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadActual   1: 8388608 op, 19016300.00 ns, 2.2669 ns/op
OverheadActual   2: 8388608 op, 18990000.00 ns, 2.2638 ns/op
OverheadActual   3: 8388608 op, 18831300.00 ns, 2.2449 ns/op
OverheadActual   4: 8388608 op, 18856100.00 ns, 2.2478 ns/op
OverheadActual   5: 8388608 op, 19077300.00 ns, 2.2742 ns/op
OverheadActual   6: 8388608 op, 18705200.00 ns, 2.2298 ns/op
OverheadActual   7: 8388608 op, 18505400.00 ns, 2.2060 ns/op
OverheadActual   8: 8388608 op, 19002800.00 ns, 2.2653 ns/op
OverheadActual   9: 8388608 op, 19021800.00 ns, 2.2676 ns/op
OverheadActual  10: 8388608 op, 18851000.00 ns, 2.2472 ns/op
OverheadActual  11: 8388608 op, 19087900.00 ns, 2.2755 ns/op
OverheadActual  12: 8388608 op, 18930200.00 ns, 2.2567 ns/op
OverheadActual  13: 8388608 op, 18908900.00 ns, 2.2541 ns/op
OverheadActual  14: 8388608 op, 18985900.00 ns, 2.2633 ns/op
OverheadActual  15: 8388608 op, 19027600.00 ns, 2.2683 ns/op

WorkloadWarmup   1: 8388608 op, 961795800.00 ns, 114.6550 ns/op
WorkloadWarmup   2: 8388608 op, 1026467000.00 ns, 122.3644 ns/op
WorkloadWarmup   3: 8388608 op, 1028309700.00 ns, 122.5841 ns/op
WorkloadWarmup   4: 8388608 op, 980964900.00 ns, 116.9401 ns/op
WorkloadWarmup   5: 8388608 op, 962359000.00 ns, 114.7221 ns/op
WorkloadWarmup   6: 8388608 op, 941598000.00 ns, 112.2472 ns/op
WorkloadWarmup   7: 8388608 op, 941643500.00 ns, 112.2527 ns/op
WorkloadWarmup   8: 8388608 op, 969606200.00 ns, 115.5861 ns/op
WorkloadWarmup   9: 8388608 op, 962441700.00 ns, 114.7320 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 958334500.00 ns, 114.2424 ns/op
WorkloadActual   2: 8388608 op, 949256800.00 ns, 113.1602 ns/op
WorkloadActual   3: 8388608 op, 963058400.00 ns, 114.8055 ns/op
WorkloadActual   4: 8388608 op, 995245900.00 ns, 118.6426 ns/op
WorkloadActual   5: 8388608 op, 998901800.00 ns, 119.0784 ns/op
WorkloadActual   6: 8388608 op, 1063493000.00 ns, 126.7782 ns/op
WorkloadActual   7: 8388608 op, 992057500.00 ns, 118.2625 ns/op
WorkloadActual   8: 8388608 op, 1060695600.00 ns, 126.4448 ns/op
WorkloadActual   9: 8388608 op, 1034574200.00 ns, 123.3309 ns/op
WorkloadActual  10: 8388608 op, 1071162600.00 ns, 127.6925 ns/op
WorkloadActual  11: 8388608 op, 1037935800.00 ns, 123.7316 ns/op
WorkloadActual  12: 8388608 op, 1004125400.00 ns, 119.7011 ns/op
WorkloadActual  13: 8388608 op, 1021790300.00 ns, 121.8069 ns/op
WorkloadActual  14: 8388608 op, 1052559300.00 ns, 125.4748 ns/op
WorkloadActual  15: 8388608 op, 1062153400.00 ns, 126.6186 ns/op
WorkloadActual  16: 8388608 op, 1017509000.00 ns, 121.2965 ns/op
WorkloadActual  17: 8388608 op, 1026808500.00 ns, 122.4051 ns/op
WorkloadActual  18: 8388608 op, 1006851700.00 ns, 120.0261 ns/op
WorkloadActual  19: 8388608 op, 976729700.00 ns, 116.4353 ns/op
WorkloadActual  20: 8388608 op, 963661000.00 ns, 114.8773 ns/op
WorkloadActual  21: 8388608 op, 965885700.00 ns, 115.1425 ns/op
WorkloadActual  22: 8388608 op, 967848600.00 ns, 115.3765 ns/op
WorkloadActual  23: 8388608 op, 947460100.00 ns, 112.9460 ns/op
WorkloadActual  24: 8388608 op, 986267400.00 ns, 117.5722 ns/op
WorkloadActual  25: 8388608 op, 989041100.00 ns, 117.9029 ns/op
WorkloadActual  26: 8388608 op, 984991500.00 ns, 117.4201 ns/op
WorkloadActual  27: 8388608 op, 963356300.00 ns, 114.8410 ns/op
WorkloadActual  28: 8388608 op, 959021900.00 ns, 114.3243 ns/op
WorkloadActual  29: 8388608 op, 944113500.00 ns, 112.5471 ns/op
WorkloadActual  30: 8388608 op, 962345500.00 ns, 114.7205 ns/op
WorkloadActual  31: 8388608 op, 942302200.00 ns, 112.3312 ns/op
WorkloadActual  32: 8388608 op, 977244400.00 ns, 116.4966 ns/op
WorkloadActual  33: 8388608 op, 952628300.00 ns, 113.5621 ns/op
WorkloadActual  34: 8388608 op, 967549000.00 ns, 115.3408 ns/op
WorkloadActual  35: 8388608 op, 961086600.00 ns, 114.5705 ns/op
WorkloadActual  36: 8388608 op, 974845600.00 ns, 116.2107 ns/op
WorkloadActual  37: 8388608 op, 961813300.00 ns, 114.6571 ns/op
WorkloadActual  38: 8388608 op, 987839900.00 ns, 117.7597 ns/op
WorkloadActual  39: 8388608 op, 974979300.00 ns, 116.2266 ns/op
WorkloadActual  40: 8388608 op, 947505100.00 ns, 112.9514 ns/op
WorkloadActual  41: 8388608 op, 944375100.00 ns, 112.5783 ns/op
WorkloadActual  42: 8388608 op, 943939100.00 ns, 112.5263 ns/op
WorkloadActual  43: 8388608 op, 972372000.00 ns, 115.9158 ns/op
WorkloadActual  44: 8388608 op, 973555100.00 ns, 116.0568 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 939348600.00 ns, 111.9791 ns/op
WorkloadResult   2: 8388608 op, 930270900.00 ns, 110.8969 ns/op
WorkloadResult   3: 8388608 op, 944072500.00 ns, 112.5422 ns/op
WorkloadResult   4: 8388608 op, 976260000.00 ns, 116.3793 ns/op
WorkloadResult   5: 8388608 op, 979915900.00 ns, 116.8151 ns/op
WorkloadResult   6: 8388608 op, 1044507100.00 ns, 124.5149 ns/op
WorkloadResult   7: 8388608 op, 973071600.00 ns, 115.9992 ns/op
WorkloadResult   8: 8388608 op, 1041709700.00 ns, 124.1815 ns/op
WorkloadResult   9: 8388608 op, 1015588300.00 ns, 121.0676 ns/op
WorkloadResult  10: 8388608 op, 1018949900.00 ns, 121.4683 ns/op
WorkloadResult  11: 8388608 op, 985139500.00 ns, 117.4378 ns/op
WorkloadResult  12: 8388608 op, 1002804400.00 ns, 119.5436 ns/op
WorkloadResult  13: 8388608 op, 1033573400.00 ns, 123.2116 ns/op
WorkloadResult  14: 8388608 op, 1043167500.00 ns, 124.3553 ns/op
WorkloadResult  15: 8388608 op, 998523100.00 ns, 119.0332 ns/op
WorkloadResult  16: 8388608 op, 1007822600.00 ns, 120.1418 ns/op
WorkloadResult  17: 8388608 op, 987865800.00 ns, 117.7628 ns/op
WorkloadResult  18: 8388608 op, 957743800.00 ns, 114.1720 ns/op
WorkloadResult  19: 8388608 op, 944675100.00 ns, 112.6140 ns/op
WorkloadResult  20: 8388608 op, 946899800.00 ns, 112.8793 ns/op
WorkloadResult  21: 8388608 op, 948862700.00 ns, 113.1132 ns/op
WorkloadResult  22: 8388608 op, 928474200.00 ns, 110.6827 ns/op
WorkloadResult  23: 8388608 op, 967281500.00 ns, 115.3089 ns/op
WorkloadResult  24: 8388608 op, 970055200.00 ns, 115.6396 ns/op
WorkloadResult  25: 8388608 op, 966005600.00 ns, 115.1568 ns/op
WorkloadResult  26: 8388608 op, 944370400.00 ns, 112.5777 ns/op
WorkloadResult  27: 8388608 op, 940036000.00 ns, 112.0610 ns/op
WorkloadResult  28: 8388608 op, 925127600.00 ns, 110.2838 ns/op
WorkloadResult  29: 8388608 op, 943359600.00 ns, 112.4572 ns/op
WorkloadResult  30: 8388608 op, 923316300.00 ns, 110.0679 ns/op
WorkloadResult  31: 8388608 op, 958258500.00 ns, 114.2333 ns/op
WorkloadResult  32: 8388608 op, 933642400.00 ns, 111.2988 ns/op
WorkloadResult  33: 8388608 op, 948563100.00 ns, 113.0775 ns/op
WorkloadResult  34: 8388608 op, 942100700.00 ns, 112.3072 ns/op
WorkloadResult  35: 8388608 op, 955859700.00 ns, 113.9474 ns/op
WorkloadResult  36: 8388608 op, 942827400.00 ns, 112.3938 ns/op
WorkloadResult  37: 8388608 op, 968854000.00 ns, 115.4964 ns/op
WorkloadResult  38: 8388608 op, 955993400.00 ns, 113.9633 ns/op
WorkloadResult  39: 8388608 op, 928519200.00 ns, 110.6881 ns/op
WorkloadResult  40: 8388608 op, 925389200.00 ns, 110.3150 ns/op
WorkloadResult  41: 8388608 op, 924953200.00 ns, 110.2630 ns/op
WorkloadResult  42: 8388608 op, 953386100.00 ns, 113.6525 ns/op
WorkloadResult  43: 8388608 op, 954569200.00 ns, 113.7935 ns/op
GC:  1133 0 0 3556769792 8388608
Threading:  2 0 8388608

// AfterAll
// Benchmark Process 8332 has exited with code 0

Mean = 115.111 ns, StdErr = 0.634 ns (0.55%), N = 43, StdDev = 4.154 ns
Min = 110.068 ns, Q1 = 112.350 ns, Median = 113.947 ns, Q3 = 117.126 ns, Max = 124.515 ns
IQR = 4.776 ns, LowerFence = 105.187 ns, UpperFence = 124.290 ns
ConfidenceInterval = [112.870 ns; 117.352 ns] (CI 99.9%), Margin = 2.241 ns (1.95% of Mean)
Skewness = 0.88, Kurtosis = 2.7, MValue = 2

// **************************
// Benchmark: DataTableMonitor.TestClass: DefaultJob
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "9f9dd925-94b8-4a60-a2ad-4207299d20ad.dll" --benchmarkName "src.DataTableMonitor.TestClass" --job "Default" --benchmarkId 1 in C:\VitorMoschetta\Testes\Asp.net Core\Benchmarks\src\bin\Release\netcoreapp3.1\9f9dd925-94b8-4a60-a2ad-4207299d20ad\bin\Release\netcoreapp3.1
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
// GC=Concurrent Workstation
// Job: DefaultJob

OverheadJitting  1: 1 op, 441900.00 ns, 441.9000 us/op
WorkloadJitting  1: 1 op, 969400.00 ns, 969.4000 us/op

OverheadJitting  2: 16 op, 764800.00 ns, 47.8000 us/op
WorkloadJitting  2: 16 op, 792700.00 ns, 49.5438 us/op

WorkloadPilot    1: 16 op, 5400.00 ns, 337.5000 ns/op
WorkloadPilot    2: 32 op, 5700.00 ns, 178.1250 ns/op
WorkloadPilot    3: 64 op, 9300.00 ns, 145.3125 ns/op
WorkloadPilot    4: 128 op, 18100.00 ns, 141.4062 ns/op
WorkloadPilot    5: 256 op, 32400.00 ns, 126.5625 ns/op
WorkloadPilot    6: 512 op, 70300.00 ns, 137.3047 ns/op
WorkloadPilot    7: 1024 op, 246000.00 ns, 240.2344 ns/op
WorkloadPilot    8: 2048 op, 475300.00 ns, 232.0801 ns/op
WorkloadPilot    9: 4096 op, 884200.00 ns, 215.8691 ns/op
WorkloadPilot   10: 8192 op, 1795300.00 ns, 219.1528 ns/op
WorkloadPilot   11: 16384 op, 1960800.00 ns, 119.6777 ns/op
WorkloadPilot   12: 32768 op, 3815400.00 ns, 116.4368 ns/op
WorkloadPilot   13: 65536 op, 8361800.00 ns, 127.5909 ns/op
WorkloadPilot   14: 131072 op, 16440600.00 ns, 125.4318 ns/op
WorkloadPilot   15: 262144 op, 33626600.00 ns, 128.2753 ns/op
WorkloadPilot   16: 524288 op, 63610000.00 ns, 121.3264 ns/op
WorkloadPilot   17: 1048576 op, 124313300.00 ns, 118.5544 ns/op
WorkloadPilot   18: 2097152 op, 237302300.00 ns, 113.1546 ns/op
WorkloadPilot   19: 4194304 op, 485186900.00 ns, 115.6776 ns/op
WorkloadPilot   20: 8388608 op, 957433400.00 ns, 114.1350 ns/op

OverheadWarmup   1: 8388608 op, 19154400.00 ns, 2.2834 ns/op
OverheadWarmup   2: 8388608 op, 19322900.00 ns, 2.3035 ns/op
OverheadWarmup   3: 8388608 op, 19371000.00 ns, 2.3092 ns/op
OverheadWarmup   4: 8388608 op, 19269100.00 ns, 2.2971 ns/op
OverheadWarmup   5: 8388608 op, 19495100.00 ns, 2.3240 ns/op
OverheadWarmup   6: 8388608 op, 19382600.00 ns, 2.3106 ns/op

OverheadActual   1: 8388608 op, 19616200.00 ns, 2.3384 ns/op
OverheadActual   2: 8388608 op, 19170700.00 ns, 2.2853 ns/op
OverheadActual   3: 8388608 op, 19215500.00 ns, 2.2907 ns/op
OverheadActual   4: 8388608 op, 19082600.00 ns, 2.2748 ns/op
OverheadActual   5: 8388608 op, 19494400.00 ns, 2.3239 ns/op
OverheadActual   6: 8388608 op, 19207300.00 ns, 2.2897 ns/op
OverheadActual   7: 8388608 op, 19356200.00 ns, 2.3074 ns/op
OverheadActual   8: 8388608 op, 19438400.00 ns, 2.3172 ns/op
OverheadActual   9: 8388608 op, 19488800.00 ns, 2.3232 ns/op
OverheadActual  10: 8388608 op, 19055100.00 ns, 2.2715 ns/op
OverheadActual  11: 8388608 op, 19048500.00 ns, 2.2708 ns/op
OverheadActual  12: 8388608 op, 19377200.00 ns, 2.3099 ns/op
OverheadActual  13: 8388608 op, 19367400.00 ns, 2.3088 ns/op
OverheadActual  14: 8388608 op, 19193500.00 ns, 2.2880 ns/op
OverheadActual  15: 8388608 op, 19421300.00 ns, 2.3152 ns/op

WorkloadWarmup   1: 8388608 op, 957440200.00 ns, 114.1358 ns/op
WorkloadWarmup   2: 8388608 op, 957274400.00 ns, 114.1160 ns/op
WorkloadWarmup   3: 8388608 op, 1000547400.00 ns, 119.2745 ns/op
WorkloadWarmup   4: 8388608 op, 1001200700.00 ns, 119.3524 ns/op
WorkloadWarmup   5: 8388608 op, 1009117500.00 ns, 120.2962 ns/op
WorkloadWarmup   6: 8388608 op, 1033634400.00 ns, 123.2188 ns/op
WorkloadWarmup   7: 8388608 op, 987412200.00 ns, 117.7087 ns/op
WorkloadWarmup   8: 8388608 op, 983918900.00 ns, 117.2923 ns/op
WorkloadWarmup   9: 8388608 op, 987512100.00 ns, 117.7206 ns/op
WorkloadWarmup  10: 8388608 op, 1012149600.00 ns, 120.6576 ns/op
WorkloadWarmup  11: 8388608 op, 1032113500.00 ns, 123.0375 ns/op
WorkloadWarmup  12: 8388608 op, 1018550400.00 ns, 121.4207 ns/op

// BeforeActualRun
WorkloadActual   1: 8388608 op, 1008337000.00 ns, 120.2031 ns/op
WorkloadActual   2: 8388608 op, 1010423100.00 ns, 120.4518 ns/op
WorkloadActual   3: 8388608 op, 953785100.00 ns, 113.7000 ns/op
WorkloadActual   4: 8388608 op, 968063900.00 ns, 115.4022 ns/op
WorkloadActual   5: 8388608 op, 955149500.00 ns, 113.8627 ns/op
WorkloadActual   6: 8388608 op, 956929900.00 ns, 114.0749 ns/op
WorkloadActual   7: 8388608 op, 956683400.00 ns, 114.0455 ns/op
WorkloadActual   8: 8388608 op, 948033500.00 ns, 113.0144 ns/op
WorkloadActual   9: 8388608 op, 949182800.00 ns, 113.1514 ns/op
WorkloadActual  10: 8388608 op, 950120600.00 ns, 113.2632 ns/op
WorkloadActual  11: 8388608 op, 977026700.00 ns, 116.4707 ns/op
WorkloadActual  12: 8388608 op, 979654900.00 ns, 116.7840 ns/op
WorkloadActual  13: 8388608 op, 998863500.00 ns, 119.0738 ns/op
WorkloadActual  14: 8388608 op, 965030500.00 ns, 115.0406 ns/op
WorkloadActual  15: 8388608 op, 957365100.00 ns, 114.1268 ns/op
WorkloadActual  16: 8388608 op, 982426500.00 ns, 117.1144 ns/op
WorkloadActual  17: 8388608 op, 1073227500.00 ns, 127.9387 ns/op
WorkloadActual  18: 8388608 op, 1046102800.00 ns, 124.7052 ns/op
WorkloadActual  19: 8388608 op, 991737700.00 ns, 118.2243 ns/op
WorkloadActual  20: 8388608 op, 985769700.00 ns, 117.5129 ns/op
WorkloadActual  21: 8388608 op, 973306300.00 ns, 116.0272 ns/op

// AfterActualRun
WorkloadResult   1: 8388608 op, 988980800.00 ns, 117.8957 ns/op
WorkloadResult   2: 8388608 op, 991066900.00 ns, 118.1444 ns/op
WorkloadResult   3: 8388608 op, 934428900.00 ns, 111.3926 ns/op
WorkloadResult   4: 8388608 op, 948707700.00 ns, 113.0948 ns/op
WorkloadResult   5: 8388608 op, 935793300.00 ns, 111.5553 ns/op
WorkloadResult   6: 8388608 op, 937573700.00 ns, 111.7675 ns/op
WorkloadResult   7: 8388608 op, 937327200.00 ns, 111.7381 ns/op
WorkloadResult   8: 8388608 op, 928677300.00 ns, 110.7070 ns/op
WorkloadResult   9: 8388608 op, 929826600.00 ns, 110.8440 ns/op
WorkloadResult  10: 8388608 op, 930764400.00 ns, 110.9558 ns/op
WorkloadResult  11: 8388608 op, 957670500.00 ns, 114.1632 ns/op
WorkloadResult  12: 8388608 op, 960298700.00 ns, 114.4765 ns/op
WorkloadResult  13: 8388608 op, 979507300.00 ns, 116.7664 ns/op
WorkloadResult  14: 8388608 op, 945674300.00 ns, 112.7332 ns/op
WorkloadResult  15: 8388608 op, 938008900.00 ns, 111.8194 ns/op
WorkloadResult  16: 8388608 op, 963070300.00 ns, 114.8069 ns/op
WorkloadResult  17: 8388608 op, 972381500.00 ns, 115.9169 ns/op
WorkloadResult  18: 8388608 op, 966413500.00 ns, 115.2055 ns/op
WorkloadResult  19: 8388608 op, 953950100.00 ns, 113.7197 ns/op
GC:  1133 0 0 3556769792 8388608
Threading:  2 0 8388608

// AfterAll
// Benchmark Process 10476 has exited with code 0

Mean = 113.563 ns, StdErr = 0.548 ns (0.48%), N = 19, StdDev = 2.388 ns
Min = 110.707 ns, Q1 = 111.647 ns, Median = 113.095 ns, Q3 = 115.006 ns, Max = 118.144 ns
IQR = 3.360 ns, LowerFence = 106.607 ns, UpperFence = 120.045 ns
ConfidenceInterval = [111.415 ns; 115.711 ns] (CI 99.9%), Margin = 2.148 ns (1.89% of Mean)
Skewness = 0.52, Kurtosis = 1.9, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report.csv
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report-github.md
  BenchmarkDotNet.Artifacts\results\src.DataTableMonitor-report.html

// * Detailed results *
DataTableMonitor.TestStruct: DefaultJob
Runtime = .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT; GC = Concurrent Workstation
Mean = 115.111 ns, StdErr = 0.634 ns (0.55%), N = 43, StdDev = 4.154 ns
Min = 110.068 ns, Q1 = 112.350 ns, Median = 113.947 ns, Q3 = 117.126 ns, Max = 124.515 ns
IQR = 4.776 ns, LowerFence = 105.187 ns, UpperFence = 124.290 ns
ConfidenceInterval = [112.870 ns; 117.352 ns] (CI 99.9%), Margin = 2.241 ns (1.95% of Mean)
Skewness = 0.88, Kurtosis = 2.7, MValue = 2
-------------------- Histogram --------------------
[110.034 ns ; 113.459 ns) | @@@@@@@@@@@@@@@@@@@
[113.459 ns ; 116.572 ns) | @@@@@@@@@@@@
[116.572 ns ; 121.807 ns) | @@@@@@@@
[121.807 ns ; 125.420 ns) | @@@@
---------------------------------------------------

DataTableMonitor.TestClass: DefaultJob
Runtime = .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT; GC = Concurrent Workstation
Mean = 113.563 ns, StdErr = 0.548 ns (0.48%), N = 19, StdDev = 2.388 ns
Min = 110.707 ns, Q1 = 111.647 ns, Median = 113.095 ns, Q3 = 115.006 ns, Max = 118.144 ns
IQR = 3.360 ns, LowerFence = 106.607 ns, UpperFence = 120.045 ns
ConfidenceInterval = [111.415 ns; 115.711 ns] (CI 99.9%), Margin = 2.148 ns (1.89% of Mean)
Skewness = 0.52, Kurtosis = 1.9, MValue = 2
-------------------- Histogram --------------------
[110.546 ns ; 112.895 ns) | @@@@@@@@@
[112.895 ns ; 115.325 ns) | @@@@@@
[115.325 ns ; 118.205 ns) | @@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=Windows 10.0.19041.746 (2004/?/20H1)
Intel Core i5-3330 CPU 3.00GHz (Ivy Bridge), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=5.0.102
  [Host]     : .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT
  DefaultJob : .NET Core 3.1.11 (CoreCLR 4.700.20.56602, CoreFX 4.700.20.56604), X64 RyuJIT


|     Method |     Mean |   Error |  StdDev |  Gen 0 | Gen 1 | Gen 2 | Allocated |
|----------- |---------:|--------:|--------:|-------:|------:|------:|----------:|
| TestStruct | 115.1 ns | 2.24 ns | 4.15 ns | 0.1351 |     - |     - |     424 B |
|  TestClass | 113.6 ns | 2.15 ns | 2.39 ns | 0.1351 |     - |     - |     424 B |

// * Hints *
Outliers
  DataTableMonitor.TestStruct: Default -> 1 outlier  was  removed (127.69 ns)
  DataTableMonitor.TestClass: Default  -> 2 outliers were removed (124.71 ns, 127.94 ns)

// * Legends *
  Mean      : Arithmetic mean of all measurements
  Error     : Half of 99.9% confidence interval
  StdDev    : Standard deviation of all measurements
  Gen 0     : GC Generation 0 collects per 1000 operations
  Gen 1     : GC Generation 1 collects per 1000 operations
  Gen 2     : GC Generation 2 collects per 1000 operations
  Allocated : Allocated memory per single operation (managed only, inclusive, 1KB = 1024B)
  1 ns      : 1 Nanosecond (0.000000001 sec)

// * Diagnostic Output - MemoryDiagnoser *


// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:01:33 (93.53 sec), executed benchmarks: 2

Global total time: 00:01:39 (99.4 sec), executed benchmarks: 2
// * Artifacts cleanup *
